id,provinsi_id,nama,kode
1101,11,KAB. ACEH SELATAN,11.01
1102,11,KAB. ACEH TENGGARA,11.02
1103,11,KAB. ACEH TIMUR,11.03
1104,11,KAB. ACEH TENGAH,11.04
1105,11,KAB. ACEH BARAT,11.05
1106,11,KAB. ACEH BESAR,11.06
1107,11,KAB. PIDIE,11.07
1108,11,KAB. ACEH UTARA,11.08
1109,11,KAB. SIMEULUE,11.09
1110,11,KAB. ACEH SINGKIL,11.10
1111,11,KAB. BIREUEN,11.11
1112,11,KAB. ACEH BARAT DAYA,11.12
1113,11,KAB. GAYO LUES,11.13
1114,11,KAB. ACEH JAYA,11.14
1115,11,KAB. NAGAN RAYA,11.15
1116,11,KAB. ACEH TAMIANG,11.16
1117,11,KAB. BENER MERIAH,11.17
1118,11,KAB. PIDIE JAYA,11.18
1171,11,KOTA BANDA ACEH,11.71
1172,11,KOTA SABANG,11.72
1173,11,KOTA LHOKSEUMAWE,11.73
1174,11,KOTA LANGSA,11.74
1175,11,KOTA SUBULUSSALAM,11.75
1201,12,KAB. TAPANULI TENGAH,12.01
1202,12,KAB. TAPANULI UTARA,12.02
1203,12,KAB. TAPANULI SELATAN,12.03
1204,12,KAB. NIAS,12.04
1205,12,KAB. LANGKAT,12.05
1206,12,KAB. KARO,12.06
1207,12,KAB. DELI SERDANG,12.07
1208,12,KAB. SIMALUNGUN,12.08
1209,12,KAB. ASAHAN,12.09
1210,12,KAB. LABUHANBATU,12.10
1211,12,KAB. DAIRI,12.11
1212,12,KAB. TOBA,12.12
1213,12,KAB. MANDAILING NATAL,12.13
1214,12,KAB. NIAS SELATAN,12.14
1215,12,KAB. PAKPAK BHARAT,12.15
1216,12,KAB. HUMBANG HASUNDUTAN,12.16
1217,12,KAB. SAMOSIR,12.17
1218,12,KAB. SERDANG BEDAGAI,12.18
1219,12,KAB. BATU BARA,12.19
1220,12,KAB. PADANG LAWAS UTARA,12.20
1221,12,KAB. PADANG LAWAS,12.21
1222,12,KAB. LABUHANBATU SELATAN,12.22
1223,12,KAB. LABUHANBATU UTARA,12.23
1224,12,KAB. NIAS UTARA,12.24
1225,12,KAB. NIAS BARAT,12.25
1271,12,KOTA MEDAN,12.71
1272,12,KOTA PEMATANGSIANTAR,12.72
1273,12,KOTA SIBOLGA,12.73
1274,12,KOTA TANJUNG BALAI,12.74
1275,12,KOTA BINJAI,12.75
1276,12,KOTA TEBING TINGGI,12.76
1277,12,KOTA PADANGSIDIMPUAN,12.77
1278,12,KOTA GUNUNGSITOLI,12.78
1301,13,KAB. PESISIR SELATAN,13.01
1302,13,KAB. SOLOK,13.02
1303,13,KAB. SIJUNJUNG,13.03
1304,13,KAB. TANAH DATAR,13.04
1305,13,KAB. PADANG PARIAMAN,13.05
1306,13,KAB. AGAM,13.06
1307,13,KAB. LIMA PULUH KOTA,13.07
1308,13,KAB. PASAMAN,13.08
1309,13,KAB. KEPULAUAN MENTAWAI,13.09
1310,13,KAB. DHARMASRAYA,13.10
1311,13,KAB. SOLOK SELATAN,13.11
1312,13,KAB. PASAMAN BARAT,13.12
1371,13,KOTA PADANG,13.71
1372,13,KOTA SOLOK,13.72
1373,13,KOTA SAWAHLUNTO,13.73
1374,13,KOTA PADANG PANJANG,13.74
1375,13,KOTA BUKITTINGGI,13.75
1376,13,KOTA PAYAKUMBUH,13.76
1377,13,KOTA PARIAMAN,13.77
1401,14,KAB. KAMPAR,14.01
1402,14,KAB. INDRAGIRI HULU,14.02
1403,14,KAB. BENGKALIS,14.03
1404,14,KAB. INDRAGIRI HILIR,14.04
1405,14,KAB. PELALAWAN,14.05
1406,14,KAB. ROKAN HULU,14.06
1407,14,KAB. ROKAN HILIR,14.07
1408,14,KAB. SIAK,14.08
1409,14,KAB. KUANTAN SINGINGI,14.09
1410,14,KAB. KEPULAUAN MERANTI,14.10
1471,14,KOTA PEKANBARU,14.71
1472,14,KOTA DUMAI,14.72
1501,15,KAB. KERINCI,15.01
1502,15,KAB. MERANGIN,15.02
1503,15,KAB. SAROLANGUN,15.03
1504,15,KAB. BATANGHARI,15.04
1505,15,KAB. MUARO JAMBI,15.05
1506,15,KAB. TANJUNG JABUNG BARAT,15.06
1507,15,KAB. TANJUNG JABUNG TIMUR,15.07
1508,15,KAB. BUNGO,15.08
1509,15,KAB. TEBO,15.09
1571,15,KOTA JAMBI,15.71
1572,15,KOTA SUNGAI PENUH,15.72
1601,16,KAB. OGAN KOMERING ULU,16.01
1602,16,KAB. OGAN KOMERING ILIR,16.02
1603,16,KAB. MUARA ENIM,16.03
1604,16,KAB. LAHAT,16.04
1605,16,KAB. MUSI RAWAS,16.05
1606,16,KAB. MUSI BANYUASIN,16.06
1607,16,KAB. BANYUASIN,16.07
1608,16,KAB. OGAN KOMERING ULU TIMUR,16.08
1609,16,KAB. OGAN KOMERING ULU SELATAN,16.09
1610,16,KAB. OGAN ILIR,16.10
1611,16,KAB. EMPAT LAWANG,16.11
1612,16,KAB. PENUKAL ABAB LEMATANG ILIR,16.12
1613,16,KAB. MUSI RAWAS UTARA,16.13
1671,16,KOTA PALEMBANG,16.71
1672,16,KOTA PAGAR ALAM,16.72
1673,16,KOTA LUBUK LINGGAU,16.73
1674,16,KOTA PRABUMULIH,16.74
1701,17,KAB. BENGKULU SELATAN,17.01
1702,17,KAB. REJANG LEBONG,17.02
1703,17,KAB. BENGKULU UTARA,17.03
1704,17,KAB. KAUR,17.04
1705,17,KAB. SELUMA,17.05
1706,17,KAB. MUKO MUKO,17.06
1707,17,KAB. LEBONG,17.07
1708,17,KAB. KEPAHIANG,17.08
1709,17,KAB. BENGKULU TENGAH,17.09
1771,17,KOTA BENGKULU,17.71
1801,18,KAB. LAMPUNG SELATAN,18.01
1802,18,KAB. LAMPUNG TENGAH,18.02
1803,18,KAB. LAMPUNG UTARA,18.03
1804,18,KAB. LAMPUNG BARAT,18.04
1805,18,KAB. TULANG BAWANG,18.05
1806,18,KAB. TANGGAMUS,18.06
1807,18,KAB. LAMPUNG TIMUR,18.07
1808,18,KAB. WAY KANAN,18.08
1809,18,KAB. PESAWARAN,18.09
1810,18,KAB. PRINGSEWU,18.10
1811,18,KAB. MESUJI,18.11
1812,18,KAB. TULANG BAWANG BARAT,18.12
1813,18,KAB. PESISIR BARAT,18.13
1871,18,KOTA BANDAR LAMPUNG,18.71
1872,18,KOTA METRO,18.72
1901,19,KAB. BANGKA,19.01
1902,19,KAB. BELITUNG,19.02
1903,19,KAB. BANGKA SELATAN,19.03
1904,19,KAB. BANGKA TENGAH,19.04
2101,21,KAB. BINTAN,21.01
2102,21,KAB. KARIMUN,21.02
2103,21,KAB. NATUNA,21.03
2104,21,KAB. LINGGA,21.04
2105,21,KAB. KEPULAUAN ANAMBAS,21.05
2171,21,KOTA BATAM,21.71
2172,21,KOTA TANJUNG PINANG,21.72
3101,31,KAB. ADM. KEP. SERIBU,31.01
3171,31,KOTA ADM. JAKARTA PUSAT,31.71
3172,31,KOTA ADM. JAKARTA UTARA,31.72
3173,31,KOTA ADM. JAKARTA BARAT,31.73
3174,31,KOTA ADM. JAKARTA SELATAN,31.74
3175,31,KOTA ADM. JAKARTA TIMUR,31.75
3201,32,KAB. BOGOR,32.01
3202,32,KAB. SUKABUMI,32.02
3203,32,KAB. CIANJUR,32.03
3204,32,KAB. BANDUNG,32.04
3205,32,KAB. GARUT,32.05
3206,32,KAB. TASIKMALAYA,32.06
3207,32,KAB. CIAMIS,32.07
3208,32,KAB. KUNINGAN,32.08
3209,32,KAB. CIREBON,32.09
3210,32,KAB. MAJALENGKA,32.10
3211,32,KAB. SUMEDANG,32.11
3212,32,KAB. INDRAMAYU,32.12
3213,32,KAB. SUBANG,32.13
3214,32,KAB. PURWAKARTA,32.14
3215,32,KAB. KARAWANG,32.15
3216,32,KAB. BEKASI,32.16
3217,32,KAB. BANDUNG BARAT,32.17
3218,32,KAB. PANGANDARAN,32.18
3271,32,KOTA BOGOR,32.71
3272,32,KOTA SUKABUMI,32.72
3273,32,KOTA BANDUNG,32.73
3274,32,KOTA CIREBON,32.74
3275,32,KOTA BEKASI,32.75
3276,32,KOTA DEPOK,32.76
3277,32,KOTA CIMAHI,32.77
3278,32,KOTA TASIKMALAYA,32.78
3279,32,KOTA BANJAR,32.79
3301,33,KAB. CILACAP,33.01
3302,33,KAB. BANYUMAS,33.02
3303,33,KAB. PURBALINGGA,33.03
3304,33,KAB. BANJARNEGARA,33.04
3305,33,KAB. KEBUMEN,33.05
3306,33,KAB. PURWOREJO,33.06
3307,33,KAB. WONOSOBO,33.07
3308,33,KAB. MAGELANG,33.08
3309,33,KAB. BOYOLALI,33.09
3310,33,KAB. KLATEN,33.10
3311,33,KAB. SUKOHARJO,33.11
3312,33,KAB. WONOGIRI,33.12
3313,33,KAB. KARANGANYAR,33.13
3314,33,KAB. SRAGEN,33.14
3315,33,KAB. GROBOGAN,33.15
3316,33,KAB. BLORA,33.16
3317,33,KAB. REMBANG,33.17
3318,33,KAB. PATI,33.18
3319,33,KAB. KUDUS,33.19
3320,33,KAB. JEPARA,33.20
3321,33,KAB. DEMAK,33.21
3322,33,KAB. SEMARANG,33.22
3323,33,KAB. TEMANGGUNG,33.23
3324,33,KAB. KENDAL,33.24
3325,33,KAB. BATANG,33.25
3326,33,KAB. PEKALONGAN,33.26
3327,33,KAB. PEMALANG,33.27
3328,33,KAB. TEGAL,33.28
3329,33,KAB. BREBES,33.29
3371,33,KOTA MAGELANG,33.71
3372,33,KOTA SURAKARTA,33.72
3373,33,KOTA SALATIGA,33.73
3374,33,KOTA SEMARANG,33.74
3375,33,KOTA PEKALONGAN,33.75
3376,33,KOTA TEGAL,33.76
3401,34,KAB. KULON PROGO,34.01
3402,34,KAB. BANTUL,34.02
3403,34,KAB. GUNUNGKIDUL,34.03
3404,34,KAB. SLEMAN,34.04
3471,34,KOTA YOGYAKARTA,34.71
3501,35,KAB. PACITAN,35.01
3502,35,KAB. PONOROGO,35.02
3503,35,KAB. TRENGGALEK,35.03
3504,35,KAB. TULUNGAGUNG,35.04
3505,35,KAB. BLITAR,35.05
3506,35,KAB. KEDIRI,35.06
3507,35,KAB. MALANG,35.07
3508,35,KAB. LUMAJANG,35.08
3509,35,KAB. JEMBER,35.09
3510,35,KAB. BANYUWANGI,35.10
3511,35,KAB. BONDOWOSO,35.11
3512,35,KAB. SITUBONDO,35.12
3513,35,KAB. PROBOLINGGO,35.13
3514,35,KAB. PASURUAN,35.14
3515,35,KAB. SIDOARJO,35.15
3516,35,KAB. MOJOKERTO,35.16
3517,35,KAB. JOMBANG,35.17
3518,35,KAB. NGANJUK,35.18
3519,35,KAB. MADIUN,35.19
3520,35,KAB. MAGETAN,35.20
3521,35,KAB. NGAWI,35.21
3522,35,KAB. BOJONEGORO,35.22
3523,35,KAB. TUBAN,35.23
3524,35,KAB. LAMONGAN,35.24
3525,35,KAB. GRESIK,35.25
3526,35,KAB. BANGKALAN,35.26
3527,35,KAB. SAMPANG,35.27
3528,35,KAB. PAMEKASAN,35.28
3529,35,KAB. SUMENEP,35.29
3571,35,KOTA KEDIRI,35.71
3572,35,KOTA BLITAR,35.72
3573,35,KOTA MALANG,35.73
3574,35,KOTA PROBOLINGGO,35.74
3575,35,KOTA PASURUAN,35.75
3576,35,KOTA MOJOKERTO,35.76
3577,35,KOTA MADIUN,35.77
3578,35,KOTA SURABAYA,35.78
3579,35,KOTA BATU,35.79
3601,36,KAB. PANDEGLANG,36.01
3602,36,KAB. LEBAK,36.02
3603,36,KAB. TANGERANG,36.03
3604,36,KAB. SERANG,36.04
3671,36,KOTA TANGERANG,36.71
3672,36,KOTA CILEGON,36.72
3673,36,KOTA SERANG,36.73
3674,36,KOTA TANGERANG SELATAN,36.74
5101,51,KAB. JEMBRANA,51.01
5102,51,KAB. TABANAN,51.02
5103,51,KAB. BADUNG,51.03
5104,51,KAB. GIANYAR,51.04
5105,51,KAB. KLUNGKUNG,51.05
5106,51,KAB. BANGLI,51.06
5107,51,KAB. KARANGASEM,51.07
5108,51,KAB. BULELENG,51.08
5171,51,KOTA DENPASAR,51.71
5201,52,KAB. LOMBOK BARAT,52.01
5202,52,KAB. LOMBOK TENGAH,52.02
5203,52,KAB. LOMBOK TIMUR,52.03
5204,52,KAB. SUMBAWA,52.04
5205,52,KAB. DOMPU,52.05
5206,52,KAB. BIMA,52.06
5207,52,KAB. SUMBAWA BARAT,52.07
5208,52,KAB. LOMBOK UTARA,52.08
5271,52,KOTA MATARAM,52.71
5272,52,KOTA BIMA,52.72
5301,53,KAB. KUPANG,53.01
5302,53,KAB. TIMOR TENGAH SELATAN,53.02
5303,53,KAB. TIMOR TENGAH UTARA,53.03
5304,53,KAB. BELU,53.04
5305,53,KAB. ALOR,53.05
5306,53,KAB. FLORES TIMUR,53.06
5307,53,KAB. SIKKA,53.07
5308,53,KAB. ENDE,53.08
5309,53,KAB. NGADA,53.09
5310,53,KAB. MANGGARAI,53.10
5311,53,KAB. SUMBA TIMUR,53.11
5312,53,KAB. SUMBA BARAT,53.12
5313,53,KAB. LEMBATA,53.13
5314,53,KAB. ROTE NDAO,53.14
5315,53,KAB. MANGGARAI BARAT,53.15
5316,53,KAB. NAGEKEO,53.16
5317,53,KAB. SUMBA TENGAH,53.17
5318,53,KAB. SUMBA BARAT DAYA,53.18
5319,53,KAB. MANGGARAI TIMUR,53.19
5320,53,KAB. SABU RAIJUA,53.20
5321,53,KAB. MALAKA,53.21
5371,53,KOTA KUPANG,53.71
6101,61,KAB. SAMBAS,61.01
6102,61,KAB. MEMPAWAH,61.02
6103,61,KAB. SANGGAU,61.03
6104,61,KAB. KETAPANG,61.04
6105,61,KAB. SINTANG,61.05
6106,61,KAB. KAPUAS HULU,61.06
6107,61,KAB. BENGKAYANG,61.07
6108,61,KAB. LANDAK,61.08
6109,61,KAB. SEKADAU,61.09
6110,61,KAB. MELAWI,61.10
6111,61,KAB. KAYONG UTARA,61.11
6112,61,KAB. KUBU RAYA,61.12
6171,61,KOTA PONTIANAK,61.71
6172,61,KOTA SINGKAWANG,61.72
6201,62,KAB. KOTAWARINGIN BARAT,62.01
6202,62,KAB. KOTAWARINGIN TIMUR,62.02
6203,62,KAB. KAPUAS,62.03
6204,62,KAB. BARITO SELATAN,62.04
6205,62,KAB. BARITO UTARA,62.05
6206,62,KAB. KATINGAN,62.06
6207,62,KAB. SERUYAN,62.07
6208,62,KAB. SUKAMARA,62.08
6209,62,KAB. LAMANDAU,62.09
6210,62,KAB. GUNUNG MAS,62.10
6211,62,KAB. PULANG PISAU,62.11
6212,62,KAB. MURUNG RAYA,62.12
6213,62,KAB. BARITO TIMUR,62.13
6271,62,KOTA PALANGKARAYA,62.71
6301,63,KAB. TANAH LAUT,63.01
6302,63,KAB. KOTABARU,63.02
6303,63,KAB. BANJAR,63.03
6304,63,KAB. BARITO KUALA,63.04
6305,63,KAB. TAPIN,63.05
6306,63,KAB. HULU SUNGAI SELATAN,63.06
6307,63,KAB. HULU SUNGAI TENGAH,63.07
6308,63,KAB. HULU SUNGAI UTARA,63.08
6309,63,KAB. TABALONG,63.09
6310,63,KAB. TANAH BUMBU,63.10
6311,63,KAB. BALANGAN,63.11
6371,63,KOTA BANJARMASIN,63.71
6372,63,KOTA BANJARBARU,63.72
6401,64,KAB. PASER,64.01
6402,64,KAB. KUTAI KARTANEGARA,64.02
6403,64,KAB. BERAU,64.03
6407,64,KAB. KUTAI BARAT,64.07
6408,64,KAB. KUTAI TIMUR,64.08
6409,64,KAB. PENAJAM PASER UTARA,64.09
6411,64,KAB. MAHAKAM ULU,64.11
6471,64,KOTA BALIKPAPAN,64.71
6472,64,KOTA SAMARINDA,64.72
6474,64,KOTA BONTANG,64.74
6501,65,KAB. BULUNGAN,65.01
6502,65,KAB. MALINAU,65.02
6503,65,KAB. NUNUKAN,65.03
6504,65,KAB. TANA TIDUNG,65.04
6571,65,KOTA TARAKAN,65.71
7101,71,KAB. BOLAANG MONGONDOW,71.01
7102,71,KAB. MINAHASA,71.02
7103,71,KAB. KEPULAUAN SANGIHE,71.03
7104,71,KAB. KEPULAUAN TALAUD,71.04
7105,71,KAB. MINAHASA SELATAN,71.05
7106,71,KAB. MINAHASA UTARA,71.06
7107,71,KAB. MINAHASA TENGGARA,71.07
7108,71,KAB. BOLAANG MONGONDOW UTARA,71.08
7109,71,KAB. KEP. SIAU TAGULANDANG BIARO,71.09
7110,71,KAB. BOLAANG MONGONDOW TIMUR,71.10
7111,71,KAB. BOLAANG MONGONDOW SELATAN,71.11
7171,71,KOTA MANADO,71.71
7172,71,KOTA BITUNG,71.72
7173,71,KOTA TOMOHON,71.73
7174,71,KOTA KOTAMOBAGU,71.74
7201,72,KAB. BANGGAI,72.01
7202,72,KAB. POSO,72.02
7203,72,KAB. DONGGALA,72.03
7204,72,KAB. TOLI TOLI,72.04
7205,72,KAB. BUOL,72.05
7206,72,KAB. MOROWALI,72.06
7207,72,KAB. BANGGAI KEPULAUAN,72.07
7208,72,KAB. PARIGI MOUTONG,72.08
7209,72,KAB. TOJO UNA UNA,72.09
7210,72,KAB. SIGI,72.10
7211,72,KAB. BANGGAI LAUT,72.11
7212,72,KAB. MOROWALI UTARA,72.12
7271,72,KOTA PALU,72.71
7301,73,KAB. KEPULAUAN SELAYAR,73.01
7302,73,KAB. BULUKUMBA,73.02
7303,73,KAB. BANTAENG,73.03
7304,73,KAB. JENEPONTO,73.04
7305,73,KAB. TAKALAR,73.05
7306,73,KAB. GOWA,73.06
7307,73,KAB. SINJAI,73.07
7308,73,KAB. BONE,73.08
7309,73,KAB. MAROS,73.09
7310,73,KAB. PANGKAJENE KEPULAUAN,73.10
7311,73,KAB. BARRU,73.11
7312,73,KAB. SOPPENG,73.12
7313,73,KAB. WAJO,73.13
7314,73,KAB. SIDENRENG RAPPANG,73.14
7315,73,KAB. PINRANG,73.15
7316,73,KAB. ENREKANG,73.16
7317,73,KAB. LUWU,73.17
7318,73,KAB. TANA TORAJA,73.18
7322,73,KAB. LUWU UTARA,73.22
7324,73,KAB. LUWU TIMUR,73.24
7326,73,KAB. TORAJA UTARA,73.26
7371,73,KOTA MAKASSAR,73.71
7372,73,KOTA PARE PARE,73.72
7373,73,KOTA PALOPO,73.73
7401,74,KAB. KOLAKA,74.01
7402,74,KAB. KONAWE,74.02
7403,74,KAB. MUNA,74.03
7404,74,KAB. BUTON,74.04
7405,74,KAB. KONAWE SELATAN,74.05
7406,74,KAB. BOMBANA,74.06
7407,74,KAB. WAKATOBI,74.07
7408,74,KAB. KOLAKA UTARA,74.08
7409,74,KAB. KONAWE UTARA,74.09
7410,74,KAB. BUTON UTARA,74.10
7411,74,KAB. KOLAKA TIMUR,74.11
7412,74,KAB. KONAWE KEPULAUAN,74.12
7413,74,KAB. MUNA BARAT,74.13
7414,74,KAB. BUTON TENGAH,74.14
7415,74,KAB. BUTON SELATAN,74.15
7471,74,KOTA KENDARI,74.71
7472,74,KOTA BAU BAU,74.72
7501,75,KAB. GORONTALO,75.01
7502,75,KAB. BOALEMO,75.02
7503,75,KAB. BONE BOLANGO,75.03
7504,75,KAB. POHUWATO,75.04
7505,75,KAB. GORONTALO UTARA,75.05
7571,75,KOTA GORONTALO,75.71
7601,76,KAB. PASANGKAYU,76.01
7602,76,KAB. MAMUJU,76.02
7603,76,KAB. MAMASA,76.03
7604,76,KAB. POLEWALI MANDAR,76.04
7605,76,KAB. MAJENE,76.05
7606,76,KAB. MAMUJU TENGAH,76.06
8101,81,KAB. MALUKU TENGAH,81.01
8102,81,KAB. MALUKU TENGGARA,81.02
8103,81,KAB. KEPULAUAN TANIMBAR,81.03
8104,81,KAB. BURU,81.04
8105,81,KAB. SERAM BAGIAN TIMUR,81.05
8106,81,KAB. SERAM BAGIAN BARAT,81.06
8107,81,KAB. KEPULAUAN ARU,81.07
8108,81,KAB. MALUKU BARAT DAYA,81.08
8109,81,KAB. BURU SELATAN,81.09
8171,81,KOTA AMBON,81.71
8172,81,KOTA TUAL,81.72
8201,82,KAB. HALMAHERA BARAT,82.01
9103,91,KAB. JAYAPURA,91.03
9105,91,KAB. KEPULAUAN YAPEN,91.05
9106,91,KAB. BIAK NUMFOR,91.06
9110,91,KAB. SARMI,91.10
9111,91,KAB. KEEROM,91.11
9115,91,KAB. WAROPEN,91.15
9119,91,KAB. SUPIORI,91.19
9120,91,KAB. MAMBERAMO RAYA,91.20
9171,91,KOTA JAYAPURA,91.71
9201,92,KAB. SORONG,92.01
9202,92,KAB. MANOKWARI,92.02
9203,92,KAB. FAK FAK,92.03
9204,92,KAB. SORONG SELATAN,92.04
9205,92,KAB. RAJA AMPAT,92.05
9301,93,KAB. MERAUKE,93.01
9302,93,KAB. BOVEN DIGOEL,93.02
9303,93,KAB. MAPPI,93.03
9304,93,KAB. ASMAT,93.04
9401,94,KAB. NABIRE,94.01
9402,94,KAB. PUNCAK JAYA,94.02
9403,94,KAB. PANIAI,94.03
9404,94,KAB. MIMIKA,94.04
9405,94,KAB. PUNCAK,94.05
9406,94,KAB. DOGIYAI,94.06
9407,94,KAB. INTAN JAYA,94.07
9408,94,KAB. DEIYAI,94.08
9501,95,KAB. JAYAWIJAYA,95.01
9502,95,KAB. PEGUNUNGAN BINTANG,95.02
9503,95,KAB. YAHUKIMO,95.03
9504,95,KAB. TOLIKARA,95.04
9505,95,KAB. MAMBERAMO TENGAH,95.05
9506,95,KAB. YALIMO,95.06
9507,95,KAB. LANNY JAYA,95.07
9508,95,KAB. NDUGA,95.08
